instructions,cache-misses,cache-references,L1-dcache-load-misses,L1-dcache-loads,time,LLC-load-misses,LLC-loads,length
119690758.8,142847.8,1077090.2,2094733.66,32577307.22,0.03567684148,21352.72,198463.74,1
119674051.4,145327.28,1080453.02,2095393.1,32575400.12,0.03581954760000001,21546.2,199409.56,2
119692211.84,145997.28,1081344.1,2095620.5,32581100.62,0.03594766826000001,21602.32,199969.64,4
119755576.98,148550.48,1081934.44,2096523.14,32594810.52,0.03589183790000001,21888.68,200042.58,8
119784497.68,144838.64,1080854.36,2096549.72,32603054.7,0.035961776279999996,21721.14,200091.62,16
119866907.18,143623.7,1080626.32,2096809.02,32625605.86,0.03595617557999999,21319.76,200062.08,32
120082842.26,146007.84,1084776.82,2098788.62,32682815.94,0.035845170279999984,21570.62,201007.04,64
120510201.68,146013.68,1084659.7,2101269.46,32794332.28,0.03609434464,21917.38,201506.36,128
121368920.84,148302.14,1087501.24,2106865.36,33015397.54,0.03635554949999998,22207.74,202552.8,256
123143617.64,145970.74,1091611.9,2119544.44,33468090.02,0.03679015932,21970.56,203801.06,512
126614423.88,146179.74,1097082.4,2141291.74,34357240.14,0.03731389142000001,22164.1,204486.9,1024
133694784.42,140125.12,1110509.98,2183954.56,36168952.16,0.03857511084000001,21545.6,206873.5,2048
148275784.48,152105.86,1141492.48,2284802.72,39903315.38,0.04112734998000001,22912.86,212408.66,4096
177288381.7,177718.24,1238101.52,2471171.64,47348427.64,0.04691904766,25439.2,226800.22,8192
236464361.72,236541.56,1451595.02,2849069.26,62528916.06,0.05870390734,31524.38,266748.56,16384
354375319.02,346881.62,1853121.06,3610182.16,92775243.76,0.08149532139999999,44912.6,345212.48,32768
589764766.24,585900.32,2665714.58,5151518.16,153244445.76,0.12805132662000002,69658.74,478638.56,65536
1060617542.7,993355.32,4351683.92,8206989.08,274224818.36,0.22211756993999995,189159.56,771605.86,131072
