instructions,cache-misses,cache-references,L1-dcache-load-misses,L1-dcache-loads,time,LLC-load-misses,LLC-loads,length
1936061848.76,1936100.02,10196042.88,17811658.58,570898642.96,0.3785508493199999,456218.36,2745051.84,1
1935672437.64,1922775.0,10181485.52,17842635.16,570856847.4,0.3726945937599999,455100.82,2741524.94,2
1936215583.02,1919379.36,10170579.98,17806444.56,570934299.14,0.3715615419799999,452430.04,2734505.48,4
1936456032.22,1908214.98,10155258.8,17790013.92,570977670.7,0.36060089458000005,448181.16,2728050.34,8
1936443595.74,1906065.14,10129887.26,17769280.78,570998471.06,0.34482165045999996,447483.78,2721663.58,16
1936153447.22,1911486.52,10148627.28,17807652.48,570964641.82,0.36232503932,451833.44,2732426.3,32
1937232097.08,1930494.64,10208671.52,17827797.88,571180707.08,0.42118309604000004,456073.7,2743304.36,64
1937870982.3,1915766.9,10165380.14,17776316.34,571348648.58,0.36979078043999997,449918.7,2730197.66,128
1937868712.82,1918429.0,10177636.94,17811638.06,571463570.92,0.4046664019199999,451805.18,2736541.14,256
1939887440.0,1915243.48,10176319.28,17845539.64,572010775.9,0.37914656470000013,452944.9,2739227.4,512
1943847104.92,1892841.96,10102884.24,17776323.28,573128229.48,0.32936767860000005,445982.04,2718320.9,1024
1950857710.3,1881501.82,10130080.52,17778732.94,575223788.1,0.32150975356000006,437474.02,2713084.44,2048
1963758780.58,1900635.2,10174974.34,17830525.72,579119613.34,0.33129192974000005,445272.22,2732017.32,4096
1991805038.32,1906640.52,10176656.28,17905300.38,587390513.04,0.30913543108,448633.5,2737689.4,8192
2046450344.1,1908715.14,10212589.82,18013633.0,603665305.94,0.33335048728000005,447587.98,2740524.84,16384
