instructions,cache-misses,cache-references,L1-dcache-load-misses,L1-dcache-loads,time,LLC-load-misses,LLC-loads,length
1995603689.84,996058.26,12538006.58,20991093.78,581479000.7,0.4110780479600002,874506.58,8153226.36,1
1976191491.04,1005876.12,12484955.44,21068503.7,583911388.78,0.42130983437999986,882926.56,8124060.76,2
1996300289.82,1011396.88,12586456.38,21222270.16,580699092.58,0.41580706034000003,864589.16,7941725.94,4
2003003945.86,1004503.3,12471604.6,20752080.58,577957369.92,0.4035086882400001,884317.64,7893577.04,8
1990777701.96,1009193.08,12607729.7,20936010.6,580923145.42,0.4089587446999998,855109.64,8109431.8,16
1990871730.3,993476.1,12567788.84,21164179.36,581449019.3,0.40490720884,841922.6,8217695.62,32
1982371931.58,1018458.1,12479472.58,20626254.26,583004408.36,0.41690043863999987,849707.4,8280616.12,64
1984382767.7,1003991.96,12485925.56,20481518.58,581642723.18,0.4127924301600001,857333.92,8133828.14,128
2003168671.34,981379.24,12565006.16,20913835.76,579930139.86,0.4035752737399999,852353.78,8005762.58,256
2000151847.06,989888.96,12454772.76,20668640.44,580077709.78,0.39993307712,857744.7,8127600.34,512
2019208081.42,1000940.28,12554477.28,21200074.2,581536955.86,0.39748313772000005,864828.0,7882018.16,1024
2026741119.82,1024575.4,12474864.36,20961629.48,587959551.48,0.4122326756799999,868470.5,7900221.5,2048
2046234033.4,1010870.82,12533867.6,20918962.6,595383753.26,0.42127645590000007,845605.24,7801290.16,4096
2100792347.18,998625.02,12623014.78,21215917.82,612482783.76,0.4389378355199999,857536.98,8146070.52,8192
2236503163.0,974525.38,12367140.44,21482442.52,646829206.58,0.4388886428800001,868674.88,7945700.92,16384
