instructions,cache-misses,cache-references,L1-dcache-load-misses,L1-dcache-loads,time,LLC-load-misses,LLC-loads,length
1981884402.48,985680.8,12559116.2,21259654.2,582236958.22,0.41075854464,803938.38,8327121.36,1
1995425269.06,973371.06,12349681.6,20920773.76,581078063.06,0.41136961943999983,822620.16,8024003.66,2
1985843118.56,1009047.44,12256998.0,20673631.68,582886316.16,0.41837767696000006,838369.76,7669679.08,4
1993941052.72,981518.14,12379035.36,20604038.8,579673233.98,0.40843108666,827521.08,8186453.32,8
1972670201.36,1010691.22,12324983.06,20616857.76,582693503.88,0.4178274006199998,841977.78,8063769.52,16
2000334482.64,964877.0,12444923.68,20902691.42,577821879.4,0.40077788495999994,797426.3,8300173.74,32
1999608757.82,986279.96,12587799.44,21273803.84,577102063.24,0.39507938371999995,852595.74,8127766.08,64
1988336986.5,985535.9,12500458.18,20916300.26,580069944.62,0.40046413647999995,822931.9,8253085.8,128
1999796611.86,974961.46,12355240.24,20559563.1,578886567.18,0.41091283709999993,817965.58,8046773.18,256
1984576146.22,994508.02,12494833.94,21049738.78,582938995.66,0.4090216866,859147.5,8198694.8,512
1987983421.06,979303.6,12566362.88,20514806.78,581562134.48,0.41085452377999976,844636.22,8811156.32,1024
2001842985.5,987678.68,12231617.68,20412518.34,586103442.58,0.41379442097999986,804427.28,8140718.4,2048
1998457811.86,983328.94,12370737.48,20722470.02,593567525.7,0.42551912064000014,809368.9,8102496.32,4096
2049118760.7,979524.74,12455714.52,21063360.46,599800002.5,0.42120738583999995,794230.6,8153152.22,8192
2134511171.16,971164.74,12206008.16,21121962.78,617906621.78,0.43660945946000007,821049.22,7599599.8,16384
