instructions,cache-misses,cache-references,L1-dcache-load-misses,L1-dcache-loads,time,LLC-load-misses,LLC-loads,length
127085230.46,112399.44,1124157.38,2391935.78,31612693.14,0.07071551502000001,25018.94,216192.02,1
126734367.68,112670.44,1097336.3,2384372.44,31690270.58,0.07108383715999998,25056.62,236588.28,2
126896425.28,111358.88,1119719.52,2387613.18,31618177.34,0.07075666988000001,24771.94,224652.74,4
126575548.96,110936.28,1104024.8,2376153.8,31719785.42,0.07063972160000001,24805.64,232325.22,8
127009209.74,111349.52,1104964.44,2381455.1,31631803.34,0.07088677728,25055.26,226237.46,16
127180240.2,112077.84,1127159.24,2389730.86,31661078.28,0.07103627641999999,24948.6,225931.5,32
127593354.74,110447.72,1122195.52,2383415.36,31649339.92,0.07068524148000001,24538.1,219068.86,64
127745951.54,108357.46,1108245.98,2397995.26,31853205.74,0.07114239898000001,24456.56,233817.08,128
127907633.06,110434.14,1066792.04,2361207.8,32128440.66,0.07193504976,25034.24,254270.58,256
129376528.36,111515.18,1031298.28,2360234.6,32558119.94,0.07243208625999997,24660.52,271199.42,512
131873674.82,112714.92,962339.66,2308717.7,33447249.92,0.07343413562,24464.48,307486.96,1024
138477519.12,113819.96,873555.34,2190472.72,34891645.24,0.07552491727999998,23557.14,350280.3,2048
153512795.64,120981.42,1184227.62,2138311.38,38198347.94,0.08146314372,22676.92,353655.98,4096
183835122.74,129718.58,1419270.74,2830412.14,44993441.52,0.09223230049999998,24227.64,166382.22,8192
243149773.88,180281.34,1575407.54,3100884.6,58981187.48,0.11444522152000002,28410.56,331346.6,16384
356855949.68,191563.2,1429985.58,3685940.22,86269591.68,0.15980238875999997,71757.96,409350.14,32768
586950195.32,401617.6,2058947.86,4950327.44,143458879.74,0.24825186636,106780.12,552149.42,65536
1060326722.8,1349542.78,3407226.56,8080128.8,256668198.34,0.42591070038,134142.56,540067.88,131072
2023236264.76,2897722.24,6153279.46,13751171.42,482197255.66,0.7832211765799998,256730.36,835936.08,262144
3926274090.44,6516336.18,10702101.78,26041075.46,927376743.52,1.4980046920799999,527429.76,1148173.74,524288
