instructions,cache-misses,cache-references,L1-dcache-load-misses,L1-dcache-loads,time,LLC-load-misses,LLC-loads,length
126912817.58,107294.12,1152727.06,2395576.5,31292911.52,0.06982288069999999,23212.5,197358.52,1
126665420.42,107357.46,1137829.74,2389005.16,31387312.42,0.07048164111999998,23380.12,211893.84,2
126757055.44,109303.38,1154772.9,2392626.96,31407449.9,0.07039895022,23821.48,209098.48,4
126513378.26,108200.78,1123263.5,2388155.78,31473612.52,0.07054707177999998,23647.64,222903.52,8
126455392.54,107452.84,1138700.06,2391067.06,31392474.22,0.07041321771999999,23930.3,211608.44,16
126781284.84,106934.66,1107899.7,2374778.22,31479655.66,0.0706972949,24090.68,226197.94,32
126864349.14,108313.3,1108893.9,2387767.0,31589016.92,0.07086797438,23919.36,228523.72,64
127611993.8,108069.56,1113359.54,2393694.36,31710579.38,0.07102080302,24372.74,230831.48,128
128641043.08,109359.44,1096630.5,2384677.74,31917012.28,0.07131733702000002,24547.64,238429.16,256
129934480.56,111118.62,1038474.38,2368036.48,32549130.82,0.07249768326,24752.18,271946.08,512
133302149.92,112594.5,925187.12,2277331.22,33720697.98,0.07437198033999999,24139.02,326760.82,1024
142630194.4,116319.76,907457.36,2133434.7,35566198.2,0.0764780982,23641.44,355768.46,2048
162753294.96,128227.16,1383081.76,2554489.26,40471336.74,0.08552693937999999,22505.54,324266.38,4096
198603957.68,130064.22,1297937.62,2926499.22,49286516.42,0.0994799053,32000.04,268832.54,8192
272608634.92,167094.62,1386633.8,3325352.84,68122675.26,0.13043128532,48671.08,361753.7,16384
428896519.0,275016.6,1609727.16,4274429.2,103217868.02,0.1912351525599999,84419.88,477799.12,32768
731076446.44,784722.0,2633644.66,6496307.32,179793146.0,0.31219301536,107159.16,565845.84,65536
1346250146.04,1874406.08,4394938.52,11216272.74,328168045.32,0.56054695704,217117.9,794872.18,131072
1130394167.6,1495775.28,3807963.92,9426302.92,274245516.9,0.47063983394000003,175259.62,727272.68,262144
713505382.76,557984.72,2251537.04,6201349.98,173101926.54,0.3053725903,135857.24,617294.72,524288
