instructions,cache-misses,cache-references,L1-dcache-load-misses,L1-dcache-loads,time,LLC-load-misses,LLC-loads,length
119973775.2,46846.84,1467704.8,2195948.42,30109015.54,0.04188910061999999,14593.14,667265.16,1
119824519.88,45563.8,1451744.62,2193978.86,30081619.9,0.041992650099999994,15542.68,677534.72,2
119971796.12,45551.74,1455674.42,2191375.88,30146243.78,0.04214339984000001,14013.82,674689.34,4
122379706.58,44067.78,1463981.6,2202163.76,30240319.02,0.041039019900000015,15343.28,649462.36,8
120929082.18,44989.56,1462257.16,2191770.44,30046926.6,0.04157429526000001,14963.4,667443.66,16
124680092.14,43859.72,1478858.96,2210021.7,30009970.24,0.04033804196,17312.44,649454.8,32
124581847.98,44392.8,1489352.78,2230473.82,30524017.2,0.03998248039999999,19823.6,631440.94,64
128404494.98,43389.94,1519510.46,2257637.94,30185293.92,0.03877112420000001,20333.28,642465.74,128
129693362.92,43283.28,1482055.86,2226792.74,30480971.28,0.03794456622,23242.42,613571.7,256
131126830.76,43346.28,1470429.56,2234785.1,30811672.34,0.038607746019999986,23189.08,621600.02,512
140374872.54,42308.62,1487992.96,2306184.2,31808122.96,0.037234660339999996,27989.64,577378.22,1024
149621443.44,44862.86,1500629.56,2331911.76,33863508.02,0.038694254940000006,31598.2,609170.7,2048
149204970.06,56205.88,1556256.32,2203931.24,39855324.98,0.04611163070000001,22679.74,1013408.24,4096
184584765.94,59558.2,1846032.98,2814127.62,53483585.4,0.0570121389,14245.66,1299025.5,8192
270220765.82,59735.38,1732034.74,3167856.92,72239483.2,0.07205313652,21246.86,1010172.1,16384
