instructions,cache-misses,cache-references,L1-dcache-load-misses,L1-dcache-loads,time,LLC-load-misses,LLC-loads,length
127264224.64,41806.18,1474853.26,2215743.6,30747678.68,0.03767431446000001,23452.88,585403.1,1
127654318.38,40807.02,1493144.9,2225231.3,30330762.3,0.03775880596,21382.56,585444.82,2
124928184.24,42634.52,1493037.06,2234104.4,30335525.6,0.039365023740000005,20610.62,622861.12,4
126859244.22,41518.22,1500401.04,2254556.14,30453677.38,0.03798843604,23759.24,604602.86,8
125611149.32,42375.72,1486478.76,2240276.78,30440958.7,0.037761237780000005,22283.76,602037.52,16
129063708.62,40335.08,1495346.24,2257623.38,30404104.88,0.03684678293999999,25422.48,588394.06,32
125821528.48,42573.36,1502321.28,2264370.38,30542149.54,0.0386087169,23221.64,629107.9,64
127154711.02,41078.86,1490565.82,2228052.72,30773754.98,0.0380554184,23529.94,586597.34,128
127134673.36,43369.64,1479629.88,2236669.34,30476205.34,0.03913047410000001,21030.68,637084.24,256
126830200.46,44689.58,1469380.98,2223143.84,30683284.58,0.04069927812,18370.2,660038.78,512
136220732.14,44313.2,1485509.52,2256125.84,31676322.04,0.03890367388,24822.88,625330.34,1024
147964177.48,43296.72,1499411.04,2374610.8,33178552.16,0.03776837706000001,32049.76,594810.42,2048
164238581.46,47115.4,1513665.56,2387367.14,37152139.46,0.040200364499999995,35751.14,683948.9,4096
178840215.96,57232.66,1586397.48,2562772.16,46674531.04,0.04905282928,32381.2,1116143.7,8192
252937191.18,54453.72,1742497.9,3249467.56,67093803.32,0.07023462012000002,17149.2,916857.2,16384
